gelato;11/03/2026;15/06/2026;18;luxardo
yogurt;05/01/2026;12/04/2026;14;gourmet
mandorla;22/02/2026;28/05/2026;10;dolcevita
frutto della passione;30/01/2026;10/05/2026;7;gelatoitalia
pistacchio;08/12/2025;05/03/2026;13;gelateriaartigiana
cocco;17/02/2026;01/06/2026;9;tropicagel
banana;13/03/2026;18/06/2026;12;sunnyside
zabaione;02/01/2026;30/03/2026;11;dolcevita
ricotta e fichi;26/02/2026;15/05/2026;5;gelateriaartigiana
mango;19/01/2026;24/04/2026;8;gelatoitalia
cacao;07/11/2025;20/02/2026;16;chocolat
lamponi;14/02/2026;22/05/2026;7;gelatoitalia
cannella;28/12/2025;10/03/2026;9;spicesgel
pompelmo;10/03/2026;19/06/2026;11;citrusgel
cioccolato al latte;04/01/2026;12/04/2026;15;chocolat
vaniglia fior di latte;21/02/2026;27/05/2026;10;gelateriaartigiana
mascarpone e limone;12/01/2026;08/04/2026;8;dolcevita
